Latitude,Longitude,Description,Label,Placemark number
55.666452,37.755724,"<div>2018-08-22: 4647000 | 5622870</div><div>2018-05-23: 5106000 | Не продано</div><div>2018-02-21: 5106000 | Не продано</div><p>г.москва,верхниеполяул.,д.28,1ком., пл. 38.7, кв. 298</p>","5.622.870, 2018, 3",1
55.797665,37.557134,"<div>2018-11-14: 10664000 | 11943680</div><p>г.москва,верхняямасловкаул.,д.27,кор.2,2ком., пл. 52.6, кв. 186</p>","11.943.680, 2018, 1",2
55.733254,37.830635,"<div>2019-04-24: 4786000 | 5551760</div><p>г.москва,вешняковскаяул.,д.21/26,1ком., пл. 34.8, кв. 61</p>","5.551.760, 2019, 1",1
55.739098,37.82264,"<div>2019-11-27: 5159000 | Не продано</div><div>2019-09-25: 5159000 | Не продано</div><p>г.москва,вешняковскаяул.,д.5,кор.4,3ком., пл. 40.3, кв. 215,комнаты1,2жилойплощадью40,3</p>","Не продано, 2019, 2",3
55.864015,37.431873,"<div>2017-12-20: 4100000 | 5781000</div><p>г.москва,вилисалацисаул.,д.1,кор.1,1ком., пл. 34.0, кв. 111</p>","5.781.000, 2017, 1",1
55.818023,37.515425,"<div>2018-02-21: 5085000 | 5237550</div><div>2017-11-08: 5944000 | Не продано</div><div>2017-09-13: 5944000 | Не продано</div><p>г.москва,вокзальныйпер.,д.10,1ком., пл. 34.7, кв. 21</p>","5.237.550, 2018, 3",1
55.707167,37.760243,"<div>2017-07-12: 4347000 | 4433940</div><p>г.москва,волгоградскийпр-т,д.113,кор.2,1ком., пл. 30.5, кв. 11</p>","4.433.940, 2017, 1",1
55.702647,37.792016,"<div>2018-02-21: 3989000 | 3989000</div><p>г.москва,волгоградскийпр-т,д.175/32,1ком., пл. 31.8, кв. 53</p>","3.989.000, 2018, 1",1
55.698142,37.751287,"<div>2018-02-21: 1532000 | 1945640</div><p>г.москва,волжскийб-р,д.48,4ком., пл. 99.4, кв. 15,комната№4жилойплощадью15,5</p>","1.945.640, 2018, 1",4
55.710595,37.743884,"<div>2018-03-14: 4335000 | 4335000</div><p>г.москва,волжскийбульвар,д.20,1ком., пл. 32.7, кв. 153</p>","4.335.000, 2018, 1",1
55.810081,37.492473,"<div>2019-10-30: 5788000 | 6251040</div><div>2019-07-24: 5995000 | Не продано</div><div>2019-04-24: 5995000 | Не продано</div><div>2019-01-23: 6170000 | Не продано</div><div>2018-11-14: 6170000 | Не продано</div><p>г.москва,волоколамскоеш.,д.16,1ком., пл. 32.4, кв. 13</p>","6.251.040, 2019, 5",1
55.77273,37.684093,"<div>2018-07-25: 5412000 | 7252080</div><p>г.москва,волховскийпер.,д.2,1ком., пл. 34.9, кв. 78</p>","7.252.080, 2018, 1",1
55.61118,37.757754,"<div>2017-03-03: 4411000 | 4763880</div><p>г.москва,воронежскаяул.,д.52,кор.1,1ком., пл. 37.5, кв. 400</p>","4.763.880, 2017, 1",1
55.813931,37.462748,"<div>2018-10-10: 5671000 | 5671000</div><div>2018-08-22: 5671000 | Не продано</div><p>г.москва,врачебныйпроезд,д.8,кор.2,2ком., пл. 33.9, кв. 9</p>","5.671.000, 2018, 2",2
55.805149,37.49939,"<div>2018-02-21: 5472000 | 5800320</div><div>2017-11-08: 6689000 | Не продано</div><p>г.москва,врубеляул.,д.10,2ком., пл. 42.9, кв. 21</p>","5.800.320, 2018, 2",2
55.803929,37.498078,"<div>2019-11-27: 8851000 | 8851000</div><p>г.москва,врубеляул.,д.13,2ком., пл. 38.2, кв. 17</p>","8.851.000, 2019, 1",2
56.000517,37.213546,"<div>2018-12-26: 4278000 | 4834140</div><p>г.москва,г.зеленоград,кор.311,1ком., пл. 38.0, кв. 17</p>","4.834.140, 2018, 1",1
55.99583,37.220625,"<div>2018-03-14: 3485000 | 4286550</div><p>г.москва,г.зеленоград,кор.331,1ком., пл. 34.5, кв. 16</p>","4.286.550, 2018, 1",1
55.998322,37.202084,"<div>2019-11-27: 5054000 | 5104540</div><p>г.москва,г.зеленоград,кор.419,1ком., пл. 37.9, кв. 191</p>","5.104.540, 2019, 1",1
55.997326,37.235034,"<div>2019-08-28: 4826000 | 4826000</div><div>2019-06-26: 4826000 | Не продано</div><p>г.москва,г.зеленоград,кор.513,1ком., пл. 36.4, кв. 97</p>","4.826.000, 2019, 2",1
55.988706,37.231512,"<div>2018-03-14: 3176000 | 3715920</div><div>2017-11-29: 3412000 | Не продано</div><div>2017-09-20: 3412000 | 3412000</div><div>2017-07-12: 3897000 | Не продано</div><div>2017-05-17: 3897000 | Не продано</div><p>г.москва,г.зеленоград,кор.613,1ком., пл. 34.9, кв. 260</p>","3.715.920, 2018, 5",1
56.008148,37.206,"<div>2019-05-29: 3847000 | 4039350</div><div>2019-03-27: 3847000 | Не продано</div><p>г.москва,г.зеленоград,корп.148,1ком., пл. 32.2, кв. 36</p>","4.039.350, 2019, 2",1
55.99943,37.211363,"<div>2019-01-23: 3903000 | 4254270</div><p>г.москва,г.зеленоград,корп.301б,1ком., пл. 33.3, кв. 30</p>","4.254.270, 2019, 1",1
55.994607,37.21051,"<div>2019-10-30: 4956000 | 4956000</div><p>г.москва,г.зеленоград,корп.457,1ком., пл. 39.2, кв. 106</p>","4.956.000, 2019, 1",1
55.507713,37.571471,"<div>2018-12-26: 3807000 | 3807000</div><p>г.москва,г.щербинка,симферопольскаяул.,д.4а,1ком., пл. 30.1, кв. 11</p>","3.807.000, 2018, 1",1
55.592418,37.604178,"<div>2017-10-11: 4048000 | 4128960</div><p>г.москва,газопроводул.,д.3,кор.1,1ком., пл. 34.6, кв. 840</p>","4.128.960, 2017, 1",1
55.798348,37.465856,"<div>2017-11-08: 4711000 | 4711000</div><p>г.москва,гамалеиул.,д.2,1ком., пл. 29.8, кв. 122</p>","4.711.000, 2017, 1",1
